node,layer,lat,lon,degree,geometry
4590,2,52.92615,-4.08498,12,"-4.08498, 52.92615"
9792,2,52.99457,-3.9386,16,"-3.9386, 52.99457"
17490,2,52.93093,-4.13446,35,"-4.13446, 52.93093"
23021,2,52.92884,-4.06457,16,"-4.06457, 52.92884"
27673,2,52.91843,-4.23753,28,"-4.23753, 52.91843"
39792,2,52.9029,-4.33874,28,"-4.33874, 52.9029"
47655,2,52.88785,-4.41672,25,"-4.41672, 52.88785"
70869,2,52.8986,-4.3742,4,"-4.3742, 52.8986"
