"city","country","pop2024","latitude","longitude","cityDisp","pop2024Disp"
"Bedford","United Kingdom",106940,52.1346,-0.46632,"Bedford","106,940"
"Oldham","United Kingdom",104782,53.5405,-2.1183,"Oldham","104,782"
"Enfield Town","United Kingdom",103970,51.6515,-0.08497,"Enfield Town","103,970"
"Woking","United Kingdom",103932,51.319,-0.55893,"Woking","103,932"
"St Helens","United Kingdom",102555,53.45,-2.73333,"St Helens","102,555"
"Worcester","United Kingdom",101659,52.1894,-2.22001,"Worcester","101,659"
"Gillingham","United Kingdom",101187,51.3891,0.54863,"Gillingham","101,187"
"Becontree","United Kingdom",100000,51.5529,0.129,"Becontree","100,000"
"Worthing","United Kingdom",99110,50.818,-0.37538,"Worthing","99,110"
"Rochdale","United Kingdom",97550,53.6177,-2.1552,"Rochdale","97,550"
"Solihull","United Kingdom",96267,52.4143,-1.78094,"Solihull","96,267"
"Royal Leamington Spa","United Kingdom",95172,52.2852,-1.52,"Royal Leamington Spa","95,172"
"Romford","United Kingdom",95000,51.5751,0.18582,"Romford","95,000"
"Bath","United Kingdom",94782,51.3751,-2.36172,"Bath","94,782"
"Harlow","United Kingdom",94365,51.7766,0.11158,"Harlow","94,365"
"Nuneaton","United Kingdom",92698,52.5232,-1.46523,"Nuneaton","92,698"
"High Peak","United Kingdom",92600,53.368,-1.84536,"High Peak","92,600"
"Darlington","United Kingdom",92363,54.5243,-1.55039,"Darlington","92,363"
"Southport","United Kingdom",91703,53.6458,-3.01008,"Southport","91,703"
"Chester","United Kingdom",90524,53.1905,-2.89189,"Chester","90,524"
"Stevenage","United Kingdom",90232,51.9022,-0.20256,"Stevenage","90,232"
"Wembley","United Kingdom",90045,51.5524,-0.29686,"Wembley","90,045"
"Grays","United Kingdom",89755,51.4757,0.32521,"Grays","89,755"
"Harrogate","United Kingdom",89060,53.9908,-1.5373,"Harrogate","89,060"
"Hartlepool","United Kingdom",88855,54.6855,-1.21028,"Hartlepool","88,855"
"Londonderry County Borough","United Kingdom",87153,54.9972,-7.30917,"Londonderry County Borough","87,153"
"Cannock","United Kingdom",86121,52.6904,-2.03085,"Cannock","86,121"
"Hemel Hempstead","United Kingdom",85629,51.7537,-0.44975,"Hemel Hempstead","85,629"
"St Albans","United Kingdom",84561,51.75,-0.33333,"St Albans","84,561"
"South Shields","United Kingdom",83655,54.9986,-1.4323,"South Shields","83,655"
"Derry","United Kingdom",83652,54.9981,-7.30934,"Derry","83,652"
"Weston-super-Mare","United Kingdom",82903,51.346,-2.97665,"Weston-super-Mare","82,903"
"Halifax","United Kingdom",82624,53.7167,-1.85,"Halifax","82,624"
"Redditch","United Kingdom",82253,52.3065,-1.94569,"Redditch","82,253"
