"city","country","pop2024","latitude","longitude","cityDisp","pop2024Disp"
"Chipping Sodbury","United Kingdom",36108,51.5381,-2.39379,"Chipping Sodbury","36,108"
"Hitchin","United Kingdom",36099,51.9492,-0.28496,"Hitchin","36,099"
"Walkden","United Kingdom",35937,53.5167,-2.4,"Walkden","35,937"
"Tyldesley","United Kingdom",35932,53.5139,-2.46754,"Tyldesley","35,932"
"Chippenham","United Kingdom",35800,51.46,-2.12472,"Chippenham","35,800"
"Billingham","United Kingdom",35708,54.5888,-1.29034,"Billingham","35,708"
"Pontypool","United Kingdom",35686,51.7011,-3.04444,"Pontypool","35,686"
"Accrington","United Kingdom",35318,53.7538,-2.35863,"Accrington","35,318"
"Falkirk","United Kingdom",35310,56.0021,-3.78535,"Falkirk","35,310"
"Briton Ferry","United Kingdom",35179,51.6311,-3.81898,"Briton Ferry","35,179"
"Hoddesdon","United Kingdom",35174,51.7615,-0.01144,"Hoddesdon","35,174"
"Bridlington","United Kingdom",35154,54.0831,-0.19192,"Bridlington","35,154"
"Bentley","United Kingdom",34821,53.5333,-1.15,"Bentley","34,821"
"Exmouth","United Kingdom",34432,50.6172,-3.40233,"Exmouth","34,432"
"Yate","United Kingdom",34406,51.5407,-2.41839,"Yate","34,406"
"Felling","United Kingdom",34355,54.953,-1.57152,"Felling","34,355"
"Colwyn Bay","United Kingdom",34284,53.2948,-3.72674,"Colwyn Bay","34,284"
"Radcliffe","United Kingdom",34239,53.5618,-2.32455,"Radcliffe","34,239"
"Totton","United Kingdom",34169,50.9188,-1.49037,"Totton","34,169"
"Letchworth","United Kingdom",33955,51.9794,-0.2284,"Letchworth","33,955"
"Chorley","United Kingdom",33888,53.65,-2.61667,"Chorley","33,888"
"Bicester","United Kingdom",33846,51.9,-1.15357,"Bicester","33,846"
"Haywards Heath","United Kingdom",33845,50.9977,-0.10313,"Haywards Heath","33,845"
"Irvine","United Kingdom",33740,55.6194,-4.65508,"Irvine","33,740"
"Wigston Magna","United Kingdom",33720,52.5813,-1.09248,"Wigston Magna","33,720"
"Wednesfield","United Kingdom",33555,52.5963,-2.08508,"Wednesfield","33,555"
"Strood","United Kingdom",33381,51.3932,0.47713,"Strood","33,381"
"Windsor","United Kingdom",33348,51.4833,-0.6,"Windsor","33,348"
"Dumfries","United Kingdom",33280,55.0696,-3.61139,"Dumfries","33,280"
"Glossop","United Kingdom",33243,53.4432,-1.949,"Glossop","33,243"
"Cramlington","United Kingdom",33180,55.0865,-1.58598,"Cramlington","33,180"
"Pudsey","United Kingdom",33109,53.7954,-1.66134,"Pudsey","33,109"
"Ebbw Vale","United Kingdom",33068,51.7771,-3.20792,"Ebbw Vale","33,068"
"Newbury","United Kingdom",33065,51.4015,-1.32471,"Newbury","33,065"
"Wickford","United Kingdom",32975,51.611,0.52331,"Wickford","32,975"
"Lichfield","United Kingdom",32877,52.6815,-1.82549,"Lichfield","32,877"
"Brighouse","United Kingdom",32872,53.7032,-1.78428,"Brighouse","32,872"
"Darwen","United Kingdom",32566,53.698,-2.46494,"Darwen","32,566"
"Wisbech","United Kingdom",32489,52.6662,0.15938,"Wisbech","32,489"
"Aston","United Kingdom",32286,52.5,-1.88333,"Aston","32,286"
"Borehamwood","United Kingdom",32176,51.6547,-0.27762,"Borehamwood","32,176"
"Prestwich","United Kingdom",32125,53.5333,-2.28333,"Prestwich","32,125"
"Motherwell","United Kingdom",32120,55.7892,-3.99187,"Motherwell","32,120"
"Cleethorpes","United Kingdom",32017,53.5605,-0.03225,"Cleethorpes","32,017"
"Lower Earley","United Kingdom",32000,51.4271,-0.91979,"Lower Earley","32,000"
"Shirley","United Kingdom",32000,52.4107,-1.81952,"Shirley","32,000"
"Deeside","United Kingdom",32000,53.2005,-3.03841,"Deeside","32,000"
"Falmouth","United Kingdom",31988,50.1544,-5.07113,"Falmouth","31,988"
"Hyde","United Kingdom",31926,53.4513,-2.07943,"Hyde","31,926"
"Chichester","United Kingdom",31654,50.8367,-0.78003,"Chichester","31,654"
"Barnstaple","United Kingdom",31616,51.0802,-4.05808,"Barnstaple","31,616"
"Spalding","United Kingdom",31588,52.7871,-0.15141,"Spalding","31,588"
"Rutherglen","United Kingdom",31180,55.8288,-4.21376,"Rutherglen","31,180"
"Thornton-Cleveleys","United Kingdom",31157,53.8739,-3.02244,"Thornton-Cleveleys","31,157"
"Aberdare","United Kingdom",31135,51.7144,-3.44918,"Aberdare","31,135"
"Caerphilly","United Kingdom",31060,51.5745,-3.218,"Caerphilly","31,060"
"Ruislip","United Kingdom",31000,51.5734,-0.42341,"Ruislip","31,000"
"Saint Neots","United Kingdom",30811,52.2167,-0.26667,"Saint Neots","30,811"
"Burgess Hill","United Kingdom",30635,50.9584,-0.13287,"Burgess Hill","30,635"
"Beverley","United Kingdom",30587,53.8459,-0.42332,"Beverley","30,587"
"Deal","United Kingdom",30555,51.2232,1.40432,"Deal","30,555"
"Wishaw","United Kingdom",30510,55.7667,-3.91667,"Wishaw","30,510"
"Pontypridd","United Kingdom",30420,51.6021,-3.34211,"Pontypridd","30,420"
"Winsford","United Kingdom",30259,53.1915,-2.52398,"Winsford","30,259"
